dateRep,deaths
06/06/2021,3
05/06/2021,2
04/06/2021,7
03/06/2021,6
02/06/2021,4
01/06/2021,12
31/05/2021,5
30/05/2021,6
29/05/2021,11
28/05/2021,4
27/05/2021,19
26/05/2021,8
25/05/2021,3
24/05/2021,3
23/05/2021,8
22/05/2021,12
21/05/2021,8
20/05/2021,13
19/05/2021,11
18/05/2021,15
17/05/2021,6
16/05/2021,12
15/05/2021,14
14/05/2021,11
13/05/2021,14
12/05/2021,19
11/05/2021,16
10/05/2021,11
09/05/2021,14
08/05/2021,23
07/05/2021,8
06/05/2021,26
05/05/2021,25
04/05/2021,25
03/05/2021,11
02/05/2021,16
01/05/2021,26
30/04/2021,33
29/04/2021,29
28/04/2021,20
27/04/2021,22
26/04/2021,11
25/04/2021,15
24/04/2021,32
23/04/2021,25
22/04/2021,40
21/04/2021,27
20/04/2021,32
19/04/2021,34
18/04/2021,23
17/04/2021,30
16/04/2021,33
15/04/2021,31
14/04/2021,51
13/04/2021,37
12/04/2021,18
11/04/2021,27
10/04/2021,34
09/04/2021,36
08/04/2021,46
07/04/2021,35
06/04/2021,26
05/04/2021,24
04/04/2021,23
03/04/2021,33
02/04/2021,23
01/04/2021,28
31/03/2021,28
30/03/2021,24
29/03/2021,11
28/03/2021,27
27/03/2021,24
26/03/2021,16
25/03/2021,29
24/03/2021,40
23/03/2021,23
22/03/2021,19
21/03/2021,22
20/03/2021,15
19/03/2021,33
18/03/2021,33
17/03/2021,23
16/03/2021,22
15/03/2021,17
14/03/2021,17
13/03/2021,23
12/03/2021,18
11/03/2021,12
10/03/2021,21
09/03/2021,23
08/03/2021,9
07/03/2021,16
06/03/2021,24
05/03/2021,19
04/03/2021,14
03/03/2021,17
02/03/2021,25
01/03/2021,8414
